Rating,Player,country_code,career_best_rating_date,career_best_rating_opnt,Career_Best_ODI_Ranking
845,Daryl Mitchell,NZ,18/01/2026,"v India,","1v West Indies,on16/11/2025"
795,Virat Kohli,IND,12/07/2018,"v England,","1v Australia,on30/10/2013"
764,Ibrahim Zadran,AFG,14/10/2025,"v Bangladesh,","2v Bangladesh,on14/10/2025"
757,Rohit Sharma,IND,06/07/2019,"v Sri Lanka,","1v Australia,on25/10/2025"
723,Shubman Gill,IND,24/09/2023,"v Australia,","1v Sri Lanka,on02/11/2023"
722,Babar Azam,PAK,10/06/2022,"v West Indies,","1v South Africa,on02/04/2021"
708,Harry Tector,IRE,07/03/2024,"v Afghanistan,","4v England,on23/09/2023"
701,Shai Hope,WI,17/05/2019,"v Bangladesh,","4v Bangladesh,on17/05/2019"
690,Charith Asalanka,SL,02/07/2025,"v Bangladesh,","5v Bangladesh,on02/07/2025"
670,Lokesh Rahul,IND,14/01/2026,"v New Zealand,","10v New Zealand,on14/01/2026"
656,Shreyas Iyer,IND,15/11/2023,"v New Zealand,","8v England,on12/02/2025"
653,Travis Head,AUS,19/09/2024,"v England,","8v England,on19/09/2024"
646,Quinton de Kock,SA,10/03/2019,"v Sri Lanka,","2v India,on06/10/2022"
639,Pathum Nissanka,SL,15/03/2024,"v Bangladesh,","7v Bangladesh,on15/03/2024"
638,Kusal Mendis,SL,08/07/2025,"v Bangladesh,","10v Bangladesh,on08/07/2025"
631,Salman Agha,PAK,11/11/2025,"v Sri Lanka,","16v Sri Lanka,on11/11/2025"
626,Rahmanullah Gurbaz,AFG,11/11/2024,"v Bangladesh,","8v Bangladesh,on11/11/2024"
626,Rachin Ravindra,NZ,01/11/2025,"v England,","12v West Indies,on19/11/2025"
625,Paul Stirling,IRE,04/06/2021,"v Netherlands,","9v Pakistan,on23/05/2013"
610,Glenn Phillips,NZ,09/03/2025,"v India,","20v India,on18/01/2026"
602,Sikandar Raza,ZIM,22/08/2022,"v India,","21v Sri Lanka,on31/08/2025"
599,Keacy Carty,WI,01/06/2025,"v England,","12v England,on01/06/2025"
598,Mohammad Mohammad Rizwan,PAK,14/02/2025,"v New Zealand,","15v South Africa,on12/02/2025"
598,Azmatullah Omarzai,AFG,08/10/2025,"v Bangladesh,","21v Bangladesh,on08/10/2025"
598,Joe Root,ENG,13/10/2018,"v Sri Lanka,","2v India,on17/07/2018"
594,Aiden Markram,SA,01/11/2023,"v New Zealand,","14v Pakistan,on27/10/2023"
589,Fakhar Zaman,PAK,29/04/2023,"v New Zealand,","2v New Zealand,on29/04/2023"
585,Harry Brook,ENG,29/10/2025,"v New Zealand,","25v New Zealand,on26/10/2025"
581,Janith Liyanage,SL,14/11/2025,"v Pakistan,","24v Pakistan,on14/11/2025"
577,Matthew Breetzke,SA,03/12/2025,"v India,","27v India,on03/12/2025"
574,Rassie van der Dussen,SA,19/07/2022,"v England,","2v England,on27/01/2023"
569,George Munsey,SCO,10/07/2022,"v Namibia,","33v Namibia,on04/09/2025"
564,Towhid Hridoy,BAN,18/10/2025,"v West Indies,","34v West Indies,on18/10/2025"
562,Devon Conway,NZ,13/10/2023,"v Bangladesh,","29v India,on11/01/2026"
559,Scott Edwards,NED,28/10/2023,"v Bangladesh,","20v Bangladesh,on28/10/2023"
557,Rahmat Shah,AFG,27/11/2022,"v Sri Lanka,","19v Sri Lanka,on02/06/2023"
556,Temba Bavuma,SA,12/09/2023,"v Australia,","11v Australia,on12/09/2023"
551,Jos Buttler,ENG,11/05/2019,"v Pakistan,","11v South Africa,on06/02/2016"
551,Saim Ayub,PAK,22/12/2024,"v South Africa,","24v South Africa,on22/12/2024"
548,Ben Duckett,ENG,29/05/2025,"v West Indies,","16v West Indies,on29/05/2025"
546,Najmul Hossain Shanto,BAN,09/11/2024,"v Afghanistan,","22v Afghanistan,on09/11/2024"
541,Mitchell Marsh,AUS,06/12/2016,"v New Zealand,","21v New Zealand,on06/12/2016"
539,Marnus Labuschagne,AUS,19/09/2024,"v England,","18v England,on19/09/2024"
538,Will Young,NZ,19/02/2025,"v Pakistan,","12v Pakistan,on19/02/2025"
535,David Miller,SA,16/11/2023,"v Australia,","14v Sri Lanka,on07/10/2023"
530,Kane Williamson,NZ,07/08/2015,"v Zimbabwe,","3v Zimbabwe,on02/08/2015"
527,Sean Williams,ZIM,02/07/2023,"v Sri Lanka,","38v Oman,on29/06/2023"
524,Andrew Balbirnie,IRE,13/07/2021,"v South Africa,","35v South Africa,on13/07/2021"
517,Mohammad Mohammad Nabi,AFG,24/10/2015,"v Zimbabwe,","39v Zimbabwe,on25/12/2015"
517,Max O'Dowd,NED,21/08/2024,"v United States,","46v United States,on21/08/2024"
517,Gerhard Erasmus,NAM,02/04/2023,"v UAE,","25v Nepal,on15/02/2024"
516,Alex Carey,AUS,26/07/2021,"v West Indies,","19v New Zealand,on11/09/2022"
516,Imam-ul-Haq,PAK,12/06/2022,"v West Indies,","2v West Indies,on10/06/2022"
513,Tom Latham,NZ,09/01/2023,"v Pakistan,","16v Pakistan,on09/01/2023"
511,Sherfane Rutherford,WI,12/12/2024,"v Bangladesh,","26v Bangladesh,on12/12/2024"
508,Milind Kumar,USA,03/11/2025,"v UAE,","53v UAE,on03/11/2025"
502,Curtis Campher,IRE,16/02/2025,"v Zimbabwe,","52v Zimbabwe,on16/02/2025"
498,Hashmatullah Shahidi,AFG,03/11/2023,"v Netherlands,","44v Sri Lanka,on04/06/2023"
498,Sadeera Samarawickrama,SL,14/02/2024,"v Afghanistan,","36v Afghanistan,on11/02/2024"
496,Monank Patel,USA,25/11/2022,"v Papua New Guinea,","38v Papua New Guinea,on25/11/2022"
492,Richard Berrington,SCO,29/05/2022,"v United States,","44v United States,on29/05/2022"
490,Tony de Zorzi,SA,17/12/2024,"v Pakistan,","50v Pakistan,on17/12/2024"
482,Jatinder Singh,OMA,29/04/2023,"v UAE,","56v UAE,on29/04/2023"
479,Brandon McMullen,SCO,16/05/2025,"v Netherlands,","55v Netherlands,on16/05/2025"
479,Michael Bracewell,NZ,18/01/2026,"v India,","64v India,on18/01/2026"
475,Saiteja Mukkamalla,USA,03/11/2025,"v UAE,","64v UAE,on03/11/2025"
472,Soumya Sarkar,BAN,15/07/2015,"v South Africa,","14v South Africa,on15/07/2015"
471,Mehidy Hasan,BAN,12/12/2024,"v West Indies,","60v Afghanistan,on08/10/2025"
469,Craig Ervine,ZIM,18/10/2015,"v Afghanistan,","54v Afghanistan,on18/10/2015"
466,Muhammad Waseem,UAE,01/05/2023,"v Nepal,","53v Canada,on28/02/2024"
465,Lorcan Tucker,IRE,25/05/2025,"v West Indies,","72v West Indies,on25/05/2025"
463,Josh Inglis,AUS,22/08/2025,"v South Africa,","64v South Africa,on22/08/2025"
450,Avishka Fernando,SL,02/09/2021,"v South Africa,","35v South Africa,on02/09/2021"
449,Liam Livingstone,ENG,02/11/2024,"v West Indies,","53v West Indies,on02/11/2024"
445,Mark Chapman,NZ,29/03/2025,"v Pakistan,","73v West Indies,on22/11/2025"
445,Brian Bennett,ZIM,18/02/2025,"v Ireland,","73v Sri Lanka,on29/08/2025"
440,Brandon King,WI,10/12/2024,"v Bangladesh,","59v Bangladesh,on10/12/2024"
438,Cameron Green,AUS,24/08/2025,"v South Africa,","78v South Africa,on24/08/2025"
438,Jacob Bethell,ENG,07/09/2025,"v South Africa,","65v South Africa,on07/09/2025"
437,Vriitya Aravind,UAE,21/06/2023,"v Oman,","44v Sri Lanka,on19/06/2023"
436,Jaker Ali,BAN,08/07/2025,"v Sri Lanka,","59v Sri Lanka,on08/07/2025"
435,Asif Khan,UAE,06/07/2023,"v United States,","64v Canada,on28/02/2024"
435,Jan Nicol Loftie-Eaton,NAM,16/02/2025,"v Oman,","76v United States,on22/09/2024"
433,Ben Curran,ZIM,31/08/2025,"v Sri Lanka,","90v Sri Lanka,on31/08/2025"
432,Philip Salt,ENG,12/02/2025,"v India,","67v India,on06/02/2025"
431,Michael Leask,SCO,23/06/2023,"v UAE,","57v Canada,on01/03/2024"
430,Sediqullah Atal,AFG,28/02/2025,"v Australia,","87v Bangladesh,on11/10/2025"
430,Pargat Singh,CAN,19/05/2025,"v Oman,","89v Oman,on19/05/2025"
426,Vikramjit Singh,NED,07/03/2025,"v Namibia,","70v United States,on21/08/2024"
423,Aasif Sheikh,NEP,13/03/2023,"v Papua New Guinea,","59v Papua New Guinea,on13/03/2023"
421,R.K. Paudel,NEP,27/02/2023,"v Papua New Guinea,","52v Papua New Guinea,on27/02/2023"
421,Aaron Jones,USA,02/04/2023,"v Papua New Guinea,","43v Papua New Guinea,on02/04/2023"
421,George Dockrell,IRE,23/09/2023,"v England,","64v Zimbabwe,on13/12/2023"
420,Evin Lewis,WI,12/03/2021,"v Sri Lanka,","40v Sri Lanka,on12/03/2021"
420,Liton Das,BAN,05/08/2022,"v Zimbabwe,","25v Zimbabwe,on05/08/2022"
419,Mohammad Nadeem,OMA,21/06/2023,"v UAE,","92v United States,on16/09/2021"
417,Teja Nidamanuru,NED,26/06/2023,"v West Indies,","82v India,on12/11/2023"
416,Bas de Leede,NED,09/10/2023,"v New Zealand,","79v Pakistan,on06/10/2023"
412,Aarif Sheikh,NEP,10/06/2025,"v Netherlands,","90v Netherlands,on10/06/2025"
410,Tanzid Hasan,BAN,02/07/2025,"v Sri Lanka,","82v Sri Lanka,on02/07/2025"
